protein_id,pid,ESM2,alignment,domain,z_max,esm_category,refseq_keyword,description
NP_001326836.1,NP_001326836,False,False,False,1.193,cell_death_HR,False,NP_001326836.1 Protein phosphatase 2A regulatory B subunit family protein [Arabidopsis thaliana]
NP_001326916.1,NP_001326916,True,False,True,1.502,PR_proteins,False,NP_001326916.1 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
NP_001326917.1,NP_001326917,True,False,True,1.502,PR_proteins,False,NP_001326917.1 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
NP_001327068.1,NP_001327068,False,False,False,0.946,cell_death_HR,False,NP_001327068.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001327086.1,NP_001327086,False,False,False,0.62,cell_death_HR,False,NP_001327086.1 ADP-ribosylation factor-like A1C [Arabidopsis thaliana]
NP_001327107.1,NP_001327107,False,False,False,0.099,defense_signaling,False,NP_001327107.1 jasmonate-zim-domain protein 3 [Arabidopsis thaliana]
NP_001327198.1,NP_001327198,False,False,False,1.177,antimicrobial,False,NP_001327198.1 HOPM interactor 7 [Arabidopsis thaliana]
NP_001327204.1,NP_001327204,False,False,False,0.937,antimicrobial,False,NP_001327204.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327206.1,NP_001327206,False,False,False,1.042,antimicrobial,False,NP_001327206.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327270.1,NP_001327270,False,False,False,1.023,antimicrobial,False,NP_001327270.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327271.1,NP_001327271,False,False,False,0.98,antimicrobial,False,NP_001327271.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327272.1,NP_001327272,False,False,False,0.98,antimicrobial,False,NP_001327272.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327273.1,NP_001327273,False,False,False,1.023,antimicrobial,False,NP_001327273.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327274.1,NP_001327274,False,False,False,0.98,antimicrobial,False,NP_001327274.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001327290.1,NP_001327290,False,False,False,0.351,antimicrobial,False,NP_001327290.1 actin depolymerizing factor 2 [Arabidopsis thaliana]
NP_001327594.1,NP_001327594,True,True,True,1.8,NBS_LRR,True,NP_001327594.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001327617.1,NP_001327617,False,False,False,1.175,antimicrobial,False,NP_001327617.1 RNA-dependent RNA polymerase 6 [Arabidopsis thaliana]
NP_001327618.1,NP_001327618,False,False,False,1.175,antimicrobial,False,NP_001327618.1 RNA-dependent RNA polymerase 6 [Arabidopsis thaliana]
NP_001327619.1,NP_001327619,False,False,False,1.175,antimicrobial,False,NP_001327619.1 RNA-dependent RNA polymerase 6 [Arabidopsis thaliana]
NP_001327620.1,NP_001327620,False,False,False,1.175,antimicrobial,False,NP_001327620.1 RNA-dependent RNA polymerase 6 [Arabidopsis thaliana]
NP_001327751.1,NP_001327751,False,False,False,0.624,defense_signaling,False,NP_001327751.1 autophagy 2 [Arabidopsis thaliana]
NP_001327752.1,NP_001327752,False,False,False,0.624,defense_signaling,False,NP_001327752.1 autophagy 2 [Arabidopsis thaliana]
NP_001327784.1,NP_001327784,True,True,False,1.697,NBS_LRR,True,NP_001327784.1 TIR-NBS-LRR class disease resistance protein [Arabidopsis thaliana]
NP_001327846.1,NP_001327846,False,True,False,1.399,NBS_LRR,False,NP_001327846.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001327866.1,NP_001327866,True,True,False,1.697,RLK_defense,True,NP_001327866.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_001327868.1,NP_001327868,True,True,False,1.697,RLK_defense,True,NP_001327868.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_001328008.1,NP_001328008,False,False,False,0.666,RLK_defense,False,NP_001328008.1 31-kDa RNA binding protein [Arabidopsis thaliana]
NP_001328019.1,NP_001328019,True,True,True,2.176,NBS_LRR,True,NP_001328019.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328020.1,NP_001328020,True,True,True,2.178,NBS_LRR,True,NP_001328020.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328021.1,NP_001328021,True,True,True,2.178,NBS_LRR,True,NP_001328021.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328022.1,NP_001328022,True,True,True,2.176,NBS_LRR,True,NP_001328022.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328027.1,NP_001328027,True,True,False,1.046,defense_signaling,True,NP_001328027.1 NPR1-like protein 4 [Arabidopsis thaliana]
NP_001328177.1,NP_001328177,True,True,False,1.636,RLK_defense,True,NP_001328177.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 20 [Arabidopsis thaliana]
NP_001328189.1,NP_001328189,False,True,False,0.883,antimicrobial,True,NP_001328189.1 MAP kinase/ ERK kinase 1 [Arabidopsis thaliana]
NP_001328190.1,NP_001328190,False,True,False,0.819,antimicrobial,True,NP_001328190.1 MAP kinase/ ERK kinase 1 [Arabidopsis thaliana]
NP_001328191.1,NP_001328191,False,False,False,1.321,NBS_LRR,False,NP_001328191.1 F-box and associated interaction domains-containing protein [Arabidopsis thaliana]
NP_001328289.1,NP_001328289,True,True,False,1.585,RLK_defense,True,NP_001328289.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 39 [Arabidopsis thaliana]
NP_001328318.1,NP_001328318,False,False,False,1.165,PR_proteins,False,NP_001328318.1 pectin methylesterase 44 [Arabidopsis thaliana]
NP_001328329.1,NP_001328329,False,False,False,1.02,cell_death_HR,False,NP_001328329.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001328330.1,NP_001328330,False,False,False,0.994,cell_death_HR,False,NP_001328330.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001328443.1,NP_001328443,True,False,False,1.51,PR_proteins,True,NP_001328443.1 Barwin-related endoglucanase [Arabidopsis thaliana]
NP_001328446.1,NP_001328446,True,True,True,2.34,NBS_LRR,True,NP_001328446.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_001328447.1,NP_001328447,True,True,True,2.351,NBS_LRR,True,NP_001328447.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_001328448.1,NP_001328448,True,True,True,2.351,NBS_LRR,True,NP_001328448.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_001328449.1,NP_001328449,True,True,True,2.351,NBS_LRR,True,NP_001328449.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_001328457.1,NP_001328457,True,True,False,1.628,RLK_defense,True,NP_001328457.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 41 [Arabidopsis thaliana]
NP_001328533.1,NP_001328533,False,False,False,0.718,defense_signaling,False,NP_001328533.1 RPM1 interacting protein 2 [Arabidopsis thaliana]
NP_001328538.1,NP_001328538,False,False,False,0.83,cell_death_HR,False,NP_001328538.1 HOPW1-1-interacting 2 [Arabidopsis thaliana]
NP_001328552.1,NP_001328552,False,False,False,1.066,cell_death_HR,True,NP_001328552.1 diacylglycerol kinase 7 [Arabidopsis thaliana]
NP_001328599.1,NP_001328599,True,False,True,1.479,PR_proteins,True,NP_001328599.1 THAUMATIN-LIKE PROTEIN 1 [Arabidopsis thaliana]
NP_001328605.1,NP_001328605,False,False,False,0.386,NBS_LRR,False,"NP_001328605.1 cytochrome P450, family 79, subfamily B, polypeptide 2 [Arabidopsis thaliana]"
NP_001328661.1,NP_001328661,True,True,True,2.17,NBS_LRR,True,NP_001328661.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328763.1,NP_001328763,False,False,False,0.88,antimicrobial,False,NP_001328763.1 Seven transmembrane MLO family protein [Arabidopsis thaliana]
NP_001328774.1,NP_001328774,False,True,False,1.508,RLK_defense,True,NP_001328774.1 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_001328966.1,NP_001328966,True,True,True,2.298,NBS_LRR,True,NP_001328966.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328967.1,NP_001328967,True,True,True,2.298,NBS_LRR,True,NP_001328967.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328968.1,NP_001328968,True,True,True,2.297,NBS_LRR,True,NP_001328968.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328969.1,NP_001328969,True,True,True,2.298,NBS_LRR,True,NP_001328969.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001328970.1,NP_001328970,True,True,True,2.298,NBS_LRR,True,NP_001328970.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329036.1,NP_001329036,True,True,True,2.187,NBS_LRR,True,NP_001329036.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329037.1,NP_001329037,True,True,True,2.187,NBS_LRR,True,NP_001329037.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329038.1,NP_001329038,True,True,True,2.187,NBS_LRR,True,NP_001329038.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329039.1,NP_001329039,True,True,True,2.187,NBS_LRR,True,NP_001329039.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329040.1,NP_001329040,True,True,True,2.187,NBS_LRR,True,NP_001329040.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329041.1,NP_001329041,True,True,True,2.187,NBS_LRR,True,NP_001329041.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329042.1,NP_001329042,True,True,True,2.187,NBS_LRR,True,NP_001329042.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329043.1,NP_001329043,True,True,True,2.187,NBS_LRR,True,NP_001329043.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329110.1,NP_001329110,False,False,True,0.905,PR_proteins,True,NP_001329110.1 receptor Serine/Threonine kinase-like protein [Arabidopsis thaliana]
NP_001329118.1,NP_001329118,True,True,True,1.826,NBS_LRR,True,NP_001329118.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329119.1,NP_001329119,True,True,True,2.111,NBS_LRR,True,NP_001329119.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329203.1,NP_001329203,True,True,False,1.611,RLK_defense,True,NP_001329203.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 40 [Arabidopsis thaliana]
NP_001329221.1,NP_001329221,True,False,False,1.667,NBS_LRR,True,NP_001329221.1 disease resistance protein (TIR-NBS-LRR class) family protein [Arabidopsis thaliana]
NP_001329222.1,NP_001329222,True,False,False,1.685,NBS_LRR,True,NP_001329222.1 disease resistance protein (TIR-NBS-LRR class) family protein [Arabidopsis thaliana]
NP_001329247.1,NP_001329247,False,True,False,1.464,RLK_defense,True,NP_001329247.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_001329248.1,NP_001329248,False,True,False,1.458,RLK_defense,True,NP_001329248.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_001329249.1,NP_001329249,False,True,False,1.523,RLK_defense,True,NP_001329249.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_001329293.1,NP_001329293,False,False,False,0.739,PR_proteins,False,NP_001329293.1 Cystatin/monellin superfamily protein [Arabidopsis thaliana]
NP_001329301.1,NP_001329301,False,False,False,0.945,cell_death_HR,True,NP_001329301.1 RNA-binding protein-defense related 1 [Arabidopsis thaliana]
NP_001329303.1,NP_001329303,False,False,False,0.402,defense_signaling,False,NP_001329303.1 bZIP transcription factor family protein [Arabidopsis thaliana]
NP_001329527.1,NP_001329527,True,True,False,1.637,RLK_defense,True,NP_001329527.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [Arabidopsis thaliana]
NP_001329528.1,NP_001329528,True,True,False,1.632,RLK_defense,True,NP_001329528.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [Arabidopsis thaliana]
NP_001329571.1,NP_001329571,False,True,False,1.581,NBS_LRR,True,NP_001329571.1 G-type lectin S-receptor-like Serine/Threonine-kinase [Arabidopsis thaliana]
NP_001329614.1,NP_001329614,True,True,True,1.791,NBS_LRR,True,NP_001329614.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001329652.1,NP_001329652,True,True,True,1.133,NBS_LRR,True,NP_001329652.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329653.1,NP_001329653,False,True,True,1.405,NBS_LRR,True,NP_001329653.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329654.1,NP_001329654,True,True,True,1.133,NBS_LRR,True,NP_001329654.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329655.1,NP_001329655,True,True,True,1.133,NBS_LRR,True,NP_001329655.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329656.1,NP_001329656,True,True,True,1.133,NBS_LRR,True,NP_001329656.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329657.1,NP_001329657,True,True,True,1.133,NBS_LRR,True,NP_001329657.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329658.1,NP_001329658,True,True,True,1.133,NBS_LRR,True,NP_001329658.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329659.1,NP_001329659,True,True,True,1.133,NBS_LRR,True,NP_001329659.1 protein kinase family protein [Arabidopsis thaliana]
NP_001329689.1,NP_001329689,False,True,False,1.55,RLK_defense,True,NP_001329689.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 11 [Arabidopsis thaliana]
NP_001329719.1,NP_001329719,True,True,True,2.069,NBS_LRR,True,NP_001329719.1 TIR-NBS-LRR class disease resistance protein [Arabidopsis thaliana]
NP_001329720.1,NP_001329720,True,True,True,2.227,NBS_LRR,True,NP_001329720.1 TIR-NBS-LRR class disease resistance protein [Arabidopsis thaliana]
NP_001329721.1,NP_001329721,True,True,True,2.063,NBS_LRR,True,NP_001329721.1 TIR-NBS-LRR class disease resistance protein [Arabidopsis thaliana]
NP_001329722.1,NP_001329722,True,True,True,2.261,NBS_LRR,True,NP_001329722.1 TIR-NBS-LRR class disease resistance protein [Arabidopsis thaliana]
NP_001329871.1,NP_001329871,False,True,True,1.299,NBS_LRR,True,NP_001329871.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329872.1,NP_001329872,False,True,True,1.094,NBS_LRR,True,NP_001329872.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329873.1,NP_001329873,False,True,True,1.474,NBS_LRR,True,NP_001329873.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329874.1,NP_001329874,False,True,True,1.471,NBS_LRR,True,NP_001329874.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329875.1,NP_001329875,True,True,True,1.693,NBS_LRR,True,NP_001329875.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329876.1,NP_001329876,False,True,True,1.299,NBS_LRR,True,NP_001329876.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329877.1,NP_001329877,False,True,True,1.471,NBS_LRR,True,NP_001329877.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329878.1,NP_001329878,False,True,True,1.094,NBS_LRR,True,NP_001329878.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329879.1,NP_001329879,False,True,True,1.094,NBS_LRR,True,NP_001329879.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329880.1,NP_001329880,False,True,True,1.556,NBS_LRR,True,NP_001329880.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329881.1,NP_001329881,False,True,True,1.414,NBS_LRR,True,NP_001329881.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329882.1,NP_001329882,True,True,True,1.693,NBS_LRR,True,NP_001329882.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329883.1,NP_001329883,False,True,True,1.474,NBS_LRR,True,NP_001329883.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001329890.1,NP_001329890,False,True,False,1.575,RLK_defense,True,NP_001329890.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 5 [Arabidopsis thaliana]
NP_001329914.1,NP_001329914,False,False,False,0.995,antimicrobial,False,NP_001329914.1 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]
NP_001329993.1,NP_001329993,False,False,False,0.764,cell_death_HR,False,NP_001329993.1 Calcium-dependent lipid-binding (CaLB domain) family protein [Arabidopsis thaliana]
NP_001330009.1,NP_001330009,False,True,True,1.554,RLK_defense,True,NP_001330009.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
NP_001330018.1,NP_001330018,False,False,False,0.699,NBS_LRR,True,NP_001330018.1 Protein kinase family protein [Arabidopsis thaliana]
NP_001330029.1,NP_001330029,False,True,False,1.364,NBS_LRR,False,NP_001330029.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330030.1,NP_001330030,False,True,False,1.356,NBS_LRR,False,NP_001330030.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330031.1,NP_001330031,False,True,False,1.38,NBS_LRR,False,NP_001330031.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330032.1,NP_001330032,False,True,False,1.356,NBS_LRR,False,NP_001330032.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330033.1,NP_001330033,False,True,False,1.38,NBS_LRR,False,NP_001330033.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330034.1,NP_001330034,False,True,False,1.38,NBS_LRR,False,NP_001330034.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330035.1,NP_001330035,False,True,False,1.374,NBS_LRR,False,NP_001330035.1 RNI-like superfamily protein [Arabidopsis thaliana]
NP_001330076.1,NP_001330076,False,False,False,1.327,antimicrobial,False,NP_001330076.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_001330137.1,NP_001330137,True,True,True,2.082,NBS_LRR,True,NP_001330137.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330138.1,NP_001330138,True,True,True,2.082,NBS_LRR,True,NP_001330138.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330139.1,NP_001330139,True,True,True,2.08,NBS_LRR,True,NP_001330139.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330140.1,NP_001330140,True,True,True,2.08,NBS_LRR,True,NP_001330140.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330323.1,NP_001330323,True,True,True,1.868,NBS_LRR,True,NP_001330323.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330337.1,NP_001330337,False,False,False,0.134,defense_signaling,False,NP_001330337.1 myb domain protein 3r-4 [Arabidopsis thaliana]
NP_001330338.1,NP_001330338,False,False,False,0.134,defense_signaling,False,NP_001330338.1 myb domain protein 3r-4 [Arabidopsis thaliana]
NP_001330386.1,NP_001330386,True,True,False,1.054,defense_signaling,True,NP_001330386.1 NPR1-like protein 3 [Arabidopsis thaliana]
NP_001330499.1,NP_001330499,False,True,False,1.505,RLK_defense,True,NP_001330499.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001330640.1,NP_001330640,True,True,True,2.309,NBS_LRR,True,NP_001330640.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330641.1,NP_001330641,True,True,True,2.309,NBS_LRR,True,NP_001330641.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330708.1,NP_001330708,False,True,False,1.298,RLK_defense,True,NP_001330708.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001330712.1,NP_001330712,True,True,True,1.9,NBS_LRR,False,NP_001330712.1 target of AVRB operation1 [Arabidopsis thaliana]
NP_001330713.1,NP_001330713,True,True,True,1.9,NBS_LRR,False,NP_001330713.1 target of AVRB operation1 [Arabidopsis thaliana]
NP_001330714.1,NP_001330714,True,True,True,1.9,NBS_LRR,False,NP_001330714.1 target of AVRB operation1 [Arabidopsis thaliana]
NP_001330749.1,NP_001330749,True,True,True,2.002,NBS_LRR,True,NP_001330749.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330750.1,NP_001330750,True,True,True,2.002,NBS_LRR,True,NP_001330750.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330751.1,NP_001330751,True,True,True,2.002,NBS_LRR,True,NP_001330751.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330752.1,NP_001330752,True,True,True,2.002,NBS_LRR,True,NP_001330752.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330753.1,NP_001330753,True,True,True,2.002,NBS_LRR,True,NP_001330753.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330754.1,NP_001330754,True,True,True,2.002,NBS_LRR,True,NP_001330754.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330755.1,NP_001330755,True,True,True,2.002,NBS_LRR,True,NP_001330755.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330914.1,NP_001330914,True,True,True,2.059,NBS_LRR,True,NP_001330914.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001330925.1,NP_001330925,False,False,False,0.962,cell_death_HR,False,NP_001330925.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]
NP_001330960.1,NP_001330960,True,True,True,2.392,NBS_LRR,True,NP_001330960.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331068.1,NP_001331068,True,True,True,1.687,NBS_LRR,True,NP_001331068.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331069.1,NP_001331069,True,True,True,1.687,NBS_LRR,True,NP_001331069.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331070.1,NP_001331070,True,True,True,1.687,NBS_LRR,True,NP_001331070.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331071.1,NP_001331071,True,True,True,1.687,NBS_LRR,True,NP_001331071.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331072.1,NP_001331072,True,True,True,1.687,NBS_LRR,True,NP_001331072.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331084.1,NP_001331084,False,False,False,0.966,antimicrobial,True,NP_001331084.1 diacylglycerol kinase1 [Arabidopsis thaliana]
NP_001331085.1,NP_001331085,False,False,False,0.932,antimicrobial,True,NP_001331085.1 diacylglycerol kinase1 [Arabidopsis thaliana]
NP_001331200.1,NP_001331200,False,False,False,0.872,RLK_defense,True,NP_001331200.1 calcium-dependent protein kinase 28 [Arabidopsis thaliana]
NP_001331221.1,NP_001331221,False,False,False,0.919,antimicrobial,False,NP_001331221.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
NP_001331222.1,NP_001331222,False,False,False,0.919,antimicrobial,False,NP_001331222.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
NP_001331305.1,NP_001331305,False,False,False,0.822,cell_death_HR,False,NP_001331305.1 PYR1-like 1 [Arabidopsis thaliana]
NP_001331309.1,NP_001331309,True,True,True,2.091,NBS_LRR,True,NP_001331309.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331316.1,NP_001331316,False,False,False,1.087,antimicrobial,False,NP_001331316.1 PAZ domain-containing protein / piwi domain-containing protein [Arabidopsis thaliana]
NP_001331322.1,NP_001331322,False,False,False,-0.1,defense_signaling,False,NP_001331322.1 uncharacterized protein AT5G44567 [Arabidopsis thaliana]
NP_001331341.1,NP_001331341,False,True,True,1.162,NBS_LRR,True,NP_001331341.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331342.1,NP_001331342,True,True,True,1.792,NBS_LRR,True,NP_001331342.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331343.1,NP_001331343,False,True,True,1.322,NBS_LRR,True,NP_001331343.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331362.1,NP_001331362,False,False,True,1.236,PR_proteins,False,NP_001331362.1 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
NP_001331392.1,NP_001331392,False,False,False,0.85,defense_signaling,False,NP_001331392.1 bZIP transcription factor family protein [Arabidopsis thaliana]
NP_001331467.1,NP_001331467,True,True,True,2.293,NBS_LRR,True,NP_001331467.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NP_001331490.1,NP_001331490,False,False,False,0.883,defense_signaling,False,NP_001331490.1 XS domain-containing protein / XS zinc finger domain-containing protein-like protein [Arabidopsis thaliana]
NP_001331491.1,NP_001331491,False,False,False,0.93,defense_signaling,False,NP_001331491.1 XS domain-containing protein / XS zinc finger domain-containing protein-like protein [Arabidopsis thaliana]
NP_001331492.1,NP_001331492,False,False,False,0.883,defense_signaling,False,NP_001331492.1 XS domain-containing protein / XS zinc finger domain-containing protein-like protein [Arabidopsis thaliana]
NP_001331502.1,NP_001331502,True,True,True,1.722,NBS_LRR,True,NP_001331502.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331503.1,NP_001331503,True,True,True,1.985,NBS_LRR,True,NP_001331503.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331514.1,NP_001331514,True,True,True,1.786,NBS_LRR,True,NP_001331514.1 Disease resistance protein (NBS-LRR class) family [Arabidopsis thaliana]
NP_001331599.1,NP_001331599,False,False,False,1.179,antimicrobial,False,NP_001331599.1 Stabilizer of iron transporter SufD / Polynucleotidyl transferase [Arabidopsis thaliana]
NP_001331600.1,NP_001331600,False,False,False,1.179,antimicrobial,False,NP_001331600.1 Stabilizer of iron transporter SufD / Polynucleotidyl transferase [Arabidopsis thaliana]
NP_001331671.1,NP_001331671,True,True,False,1.625,RLK_defense,True,NP_001331671.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 42 [Arabidopsis thaliana]
NP_001331726.1,NP_001331726,True,True,True,2.288,NBS_LRR,True,NP_001331726.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331782.1,NP_001331782,True,True,True,2.082,NBS_LRR,True,NP_001331782.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_001331804.1,NP_001331804,False,False,False,0.658,defense_signaling,False,NP_001331804.1 Seven transmembrane MLO family protein [Arabidopsis thaliana]
NP_001331891.1,NP_001331891,False,False,False,-0.239,defense_signaling,False,NP_001331891.1 uncharacterized protein AT5G44570 [Arabidopsis thaliana]
